OBS_ID	X	Y	Depth	LAYER	OBS_VALUE	DATO	SIM_VALUE_INTP	SIM_VALUE_CELL	ME	ME^2	#DRY_CELLS	#BOUNDARY_CELLS	COLUMN	ROW	COMMENT
186.765_1	691320	6206892	16.4725241661072	3	6.1	24-01-2007	4.16700653636932	4.1948881149292	1.93299346363068	3.73646373043892	0	0	152	343	
186.766_1	691422	6206794	16.4725241661072	3	5.5	25-01-2007	4.19155399087524	4.1948881149292	1.30844600912476	1.7120309587945	0	0	152	343	
186.768_1	691421	6206844	16.4725241661072	3	5.1	26-01-2007	4.17672114310074	4.1948881149292	0.923278856899261	0.852443847597205	0	0	152	343	
186.769_1	691521	6206821	18.981321811676	3	5.3	27-01-2007	4.18413245752525	4.22316694259644	1.11586754247475	1.24516037234863	0	0	153	343	
186.770_1	691520	6206896	18.981321811676	3	5.2	28-01-2007	4.1566276329422	4.22316694259644	1.0433723670578	1.0886258963398	0	0	153	343	
186.771_1	691518	6206996	18.981321811676	3	5.17	29-01-2007	4.12019977212524	4.22316694259644	1.04980022787476	1.10208051844589	0	0	153	343	
187.1385_1	708456.9	6215992	26.1345167160034	3	37.23	08-02-2007	-1.00000001800251E-35	-1.00000001800251E-35	37.23	1386.0729	0	0	186	361	
188.921_1	719043	6211627	16.6756992340088	3	26.4214	14-02-2007	10.5829326272374	10.7699270248413	15.8384673727626	250.857048718066	2	0	208	353	
190.31_1	656382	6191896	6.84278655052185	3	0.1069	16-02-2007	1.26064141126141	1.63708531856537	-1.15374141126141	1.33111924405947	0	0	82	313	
192.1044_1	690038	6190934	4.94553983211517	3	-0.83	19-02-2007	0.936153517457485	0.819977581501007	-1.76615351745749	3.11929824722745	0	0	150	311	
192.1045_1	690038	6190844	4.94553983211517	3	2.47	20-02-2007	1.04414926486337	0.819977581501007	1.42585073513663	2.03305031888966	0	0	150	311	
192.1046_1	690158	6190854	4.94553983211517	3	-1.09	21-02-2007	0.816070466540694	0.819977581501007	-1.90607046654069	3.63310462341866	0	0	150	311	
192.1047_1	690138.41	6190933.76	4.94553983211517	3	-4.78	22-02-2007	0.739373931417416	0.819977581501007	-5.51937393141742	30.4634885948101	0	0	150	311	
192.1063_1	698288	6189864	14.0899133682251	3	16.5	25-02-2007	13.3035566954498	13.2564153671265	3.19644330455017	10.2172497992036	0	0	166	309	
192.1063_2	698288	6189864	14.0899133682251	3	16.48	26-02-2007	13.3035566954498	13.2564153671265	3.17644330455017	10.0897920670216	0	0	166	309	
192.1069_1	696617	6191736	8.10172033309937	3	10.59	27-02-2007	10.3484049469223	10.5908460617065	0.241595053077697	0.0583681696716153	0	0	163	313	
192.912_1	697788	6188524	13.4448575973511	3	14.88	06-03-2007	11.2187691872101	11.313178062439	3.66123081278992	13.4046110645223	0	0	165	307	
192.941_1	685101	6198993	26.4759793281555	3	3.89	10-03-2007	0.958185646303415	0.958232462406158	2.93181435369659	8.59553540454132	0	0	140	327	
192.946_2	696508	6191971	8.10172033309937	3	9.86	12-03-2007	10.3199164524231	10.5908460617065	-0.459916452423096	0.211523143209446	0	0	163	313	
193.1372_1	714739	6193562	27.9988045692444	3	31.63	13-03-2007	18.1211106747437	18.0592136383057	13.5088893252563	182.490090802025	0	0	199	317	
193.1373_1	714380	6193492	25.3875555992126	3	31.7	14-03-2007	18.3961122375488	18.6158180236816	13.3038877624512	176.993429595898	0	0	198	316	
193.1396_2	705786	6196834	14.0765628814697	3	32.78	19-03-2007	22.6795420861528	22.6712837219238	10.1004579138472	102.019250069399	1	0	181	323	
193.1440_1	711445	6190739	12.6618480682373	3	26.3	22-03-2007	19.4321218638992	19.4069328308105	6.86787813610077	47.167750092331	0	0	192	311	
193.1445_1	711528	6190366	23.1325597763062	3	26.9	24-03-2007	19.5319320528564	19.610466003418	7.36806794714355	54.2884252737242	0	0	193	310	
193.1446_1	703844	6192558	11.5866270065308	3	28.37	25-03-2007	20.6735446033325	20.8655853271484	7.69645539666748	59.235425672892	0	0	177	315	
193.1450_1	702919.37	6194470.79	22.1096563339233	3	33.23	26-03-2007	19.5621595746234	19.3048286437988	13.6678404253766	186.809861893558	0	0	175	318	
193.1452_2	715325	6194538	21.1829652786255	3	30.77	28-03-2007	17.560874471283	17.6145820617676	13.209125528717	174.480997233404	0	0	200	319	
193.1478_1	715362	6193739	25.826153755188	3	31.9	30-03-2007	17.5484568334656	17.6522617340088	14.3515431665344	205.966791260901	0	0	200	317	
193.1484_1	715334	6193858	25.826153755188	3	32.4367	02-04-2007	17.5834210255127	17.6522617340088	14.8532789744873	220.619896293947	0	0	200	317	
