NOVANAID	XUTM	YUTM	Z	Ave_WATLEV	DATE	COMP_LAYER
193.1491_1	712452	6195529	26.55	32.79	6-04-2007	3
193.1493_1	712231	6194479	33.6	34.59	7-04-2007	3
193.1538_2	706076	6202975	19.45	22.09	10-04-2007	3
193.1569_1	713339.82	6192858.65	28.12	32	12-04-2007	3
193.1575_1	715381	6193644	27.62	31.7	13-04-2007	3
193.1579_1	706906	6192160	34.5	34.9	14-04-2007	3
193.1580_1	707112	6196629	26.5428	33.3	15-04-2007	3
193.1581_1	708903	6194725	36.5	35.8	16-04-2007	3
193.1582_1	707008	6192057	31.5	32.5	17-04-2007	3
193.1583_1	707071	6192054	32.5	33.8	18-04-2007	3
193.1584_1	704735	6192611	22.9558	30.7	19-04-2007	3
193.1591_1	712332	6194456	33.1	34.5	20-04-2007	3
193.1592_1	712228	6194534	32.75	34.9	21-04-2007	3
193.1593_1	712156	6194260	31.75	33.5	22-04-2007	3
193.1596_1	712564	6195490	33	35	23-04-2007	3
193.1597_1	712376	6195509	24.7531	32.3	24-04-2007	3
193.1598_1	712473	6195571	31	32	25-04-2007	3
193.1599_1	712485	6195549	31	32	26-04-2007	3
193.1602_1	712541	6195537	27.6	29.3	27-04-2007	3
193.1603_1	712508	6195569	27.9	29.4	28-04-2007	3
193.1609_1	706489	6191380	30.5	29.29	29-04-2007	3
193.1611_1	715337	6193590	21	23.8	30-04-2007	3
193.1612_1	715397	6193594	21	23.23	1-05-2007	3
193.1614_1	709580	6198040	33.2	35.5	2-05-2007	3
193.1616_1	710108	6197395	20.7099	35.4	3-05-2007	3
193.1617_1	709576	6198377	34.9	35.7	4-05-2007	3
193.1618_1	704258	6198264	21.7339	26.1	5-05-2007	3
193.1691_1	709123.19	6191868.34	27.8	39.1	6-05-2007	3
193.1761_1	715032.9	6193960.9	28.4	35.5	7-05-2007	3
193.2021_1	710012.64	6196651.29	28.27	36	8-05-2007	3
193.2063_1	703810.2	6192613.6	31.43	30.98	9-05-2007	3
193.2064_1	703782.7	6192819.1	33.77	33.8	10-05-2007	3
194.776_1	717947	6203296	2.5414	9.16	13-05-2007	3
194.777_1	717897	6203320	-3.2	6.41	14-05-2007	3
194.829_1	718166	6196521	21.5	24.9	18-05-2007	3
197.48B_1	652189	6180148	-14.95	6.8725	22-05-2007	3
198.548_2	668541.2	6173131	12.5	21.7575	27-05-2007	3
198.561_1	680061	6184501	-1.5	13.83	28-05-2007	3
198.565_1	674929	6184876	-14	1.6	29-05-2007	3
199.1007_1	686458	6186171	-2.15	14.022	31-05-2007	3
199.1008_2	686458	6186170	12.5	14.65	1-06-2007	3
199.1009_1	687061	6185800	1.25	12.865	2-06-2007	3
199.1010_1	687321	6186042	-0.7	12.235	3-06-2007	3
199.1043_1	696028.42	6186457.47	2.15	2.69	8-06-2007	3
199.1049_1	680886	6186979	8.7407	9.99	9-06-2007	3
199.1051_1	684129	6182920	8.4	16.88	10-06-2007	3
199.1066_1	684600	6184888	0.5	13.77	12-06-2007	3
199.377_1	684155	6181249	-1.8	8.8775	19-06-2007	3
199.771_1	682517	6180952	-1	15.9623	20-06-2007	3
200.3617_1	716317	6180930	5.5	16.55	28-06-2007	3
200.3667_1	709097	6185616	-15.9	11.8	9-07-2007	3
200.3673_1	716418	6184405	11.5	13.1	10-07-2007	3
200.3796_1	716610	6184433	11.5	19.45	19-07-2007	3
200.3797_1	716649	6184470	11.5	15.29	20-07-2007	3
200.3837_1	707063	6183294	19.38	21.11	22-07-2007	3
200.3866_2	705293	6177935	8.44	8.79	23-07-2007	3
200.3873_1	705289	6177908	8.24	9.24	24-07-2007	3
200.3874_1	705297	6177955	7.13	9.555	25-07-2007	3
200.4202_1	711412	6173732	8.5	9.1	6-08-2007	3
200.4351_1	714959	6180312	4.25	10.9	12-08-2007	3
200.4354_2	715317	6179484	-3.9	9	14-08-2007	3
200.4407_2	714729.37	6179500.84	4.7	6.65	19-08-2007	3
200.4412_1	713223	6180894	16.26	16.77	21-08-2007	3
200.4413_1	713138	6180708	15.18	16.51	22-08-2007	3
200.4415_1	711313	6186875	-5.13	14.3	23-08-2007	3
200.4415_2	711313	6186875	-4.13	14.3	24-08-2007	3
200.4415_3	711313	6186875	10.37	14.3	25-08-2007	3
200.4415_4	711313	6186875	13.17	14.3	26-08-2007	3
200.4415_5	711313	6186875	17.17	14.3	27-08-2007	3
200.5038_1	704639	6186313	7.57	10.4	31-08-2007	3
200.5039_1	704743	6186344	6.64	11	1-09-2007	3
200.5087_2	708879.84	6185815.18	-1.29	5.61	2-09-2007	3
200.5098_1	712348	6175614	13.78	13.5	3-09-2007	3
201.3808_2	726734	6173769	-5.5	-1.66	7-09-2007	3
201.3808_3	726734	6173769	-2.6	-1.66	8-09-2007	3
201.3831_1	718539	6182132	17.5	19.31	9-09-2007	3
201.3832_1	718657.17	6181635.8	10.43	19.7	10-09-2007	3
201.3875_1	720673	6173762	0.65	3.1	11-09-2007	3
201.3912_1	724843	6174423	-9.24	0.79	12-09-2007	3
201.3913_1	724844	6174452	-7.261	1.04	13-09-2007	3
201.3921_2	722640.04	6176903.86	-4.52	2.65	15-09-2007	3
201.4103_1	727014	6174852	-3.8449	-2.18	17-09-2007	3
201.4104_1	726973	6174842	-5.1659	-2.16	18-09-2007	3
201.4153_1	726658	6176360	-8.4	-0.1	19-09-2007	3
201.4154_1	726354	6176554	-6.8	-0.05	20-09-2007	3
201.4155_1	727199	6176845	-10.9501	0.1	21-09-2007	3
201.4371_1	721032.34	6181624.25	-14.51	11.4	23-09-2007	3
201.4371_2	721032.34	6181624.25	-3.51	11.38	24-09-2007	3
201.4372_1	721022.26	6181601.56	-9.09	11	25-09-2007	3
201.4372_2	721022.26	6181601.56	-0.84	10.99	26-09-2007	3
201.4444_1	724841	6177224	-3	1.3	1-10-2007	3
201.4499_1	722965	6173790	-5.92	-2.95	2-10-2007	3
201.4500_1	722965	6173790	-5.47	-0.77	3-10-2007	3
201.4501_1	722965	6173790	-4.59	0.01	4-10-2007	3
201.4502_1	722965	6173790	-4.5	-0.21	5-10-2007	3
201.4508_1	723505	6174480	-2.47	-0.6	6-10-2007	3
201.4509_1	723500	6174465	-2.89	-0.4	7-10-2007	3
201.4510_1	723490	6174475	-2.51	-0.4	8-10-2007	3
201.4511_1	723485	6174460	-2.75	0	9-10-2007	3
201.4719_1	719598	6176820	0.3	4.45	13-10-2007	3
201.4765_1	726935	6174311	-6.919	-0.7	16-10-2007	3
201.4788_1	723047	6174338	-1.23	-0.2	17-10-2007	3
201.4792_1	724841	6177224	-1.75	0.88	19-10-2007	3
201.4793_1	723053	6174038	-2.24	0	20-10-2007	3
201.4814_2	726998	6174291	-3.9	-0.3	24-10-2007	3
201.4842_2	724224	6176807	-2.77	3.3	27-10-2007	3
201.4843_2	724468	6176683	-2.99	3	29-10-2007	3
201.4844_2	724499	6176663	-2.79	3.02	31-10-2007	3
