OBS_ID	X	Y	Z	LAYER	ME	ME^2
192.1069_1	696617	6191736	8.65230989456177	3	0.241595053077697	0.0583681696716153	
192.912_1	697788	6188524	14.0410795211792	3	3.66123081278992	13.4046110645223	
192.941_1	685101	6198993	-16.8158192634583	3	2.93181435369659	8.59553540454132	
192.946_2	696508	6191971	8.65230989456177	3	-0.459916452423096	0.211523143209446	
193.1372_1	714739	6193562	22.2361998558044	3	13.5088893252563	182.490090802025	
193.1373_1	714380	6193492	25.7164177894592	3	13.3038877624512	176.993429595898	
193.1396_2	705786	6196834	26.694803237915	3	10.1004579138472	102.019250069399	
193.1440_1	711445	6190739	20.3502025604248	3	6.86787813610077	47.167750092331	
193.1445_1	711528	6190366	7.96966648101807	3	7.36806794714355	54.2884252737242	
193.1446_1	703844	6192558	25.1171770095825	3	7.69645539666748	59.235425672892	
193.1450_1	702919.37	6194470.79	15.2570428848267	3	13.6678404253766	186.809861893558	
193.1452_2	715325	6194538	18.1011457443237	3	13.209125528717	174.480997233404	
193.1478_1	715362	6193739	21.8579244613647	3	14.3515431665344	205.966791260901	
193.1484_1	715334	6193858	21.8579244613647	3	14.8532789744873	220.619896293947	
193.1486_1	712453	6195529	18.4765639305115	3	10.9129280460663	119.09199853862	
193.1488_1	712577	6195603	19.3362975120544	3	11.2245802993927	125.991202897515	
193.1490_1	712438	6195547	18.4765639305115	3	11.6192798623047	135.007664518559	
193.1491_1	712452	6195529	18.4765639305115	3	11.6383718340759	135.451698948212	
193.1493_1	712231	6194479	26.3917064666748	3	13.7754358107986	189.762631777434	
193.1538_2	706076	6202975	15.943639755249	3	1.30926808624267	1.71418292165356	
193.1569_1	713339.82	6192858.65	23.3499059677124	3	12.459388812702	155.236369586084	
193.1575_1	715381	6193644	21.8579244613647	3	14.1597551468048	200.498665817465	
193.1579_1	706906	6192160	22.4687747955322	3	13.3048634454346	177.019391301661	
193.1580_1	707112	6196629	25.9983329772949	3	8.00507162541822	64.0811717280759	
193.1581_1	708903	6194725	27.2878446578979	3	13.1599149965286	173.183362715859	
193.1582_1	707008	6192057	20.8446245193481	3	11.0450152868042	121.992362685738	
193.1583_1	707071	6192054	20.8446245193481	3	12.3891842331543	153.491885963039	
193.1584_1	704735	6192611	26.0297117233276	3	9.38885464500427	88.1505915450183	
193.1591_1	712332	6194456	26.3917064666748	3	13.7889531818848	190.13522985221	
193.1592_1	712228	6194534	23.726095199585	3	14.0742638676758	198.084903416964	
193.1593_1	712156	6194260	26.3917064666748	3	12.6676955827332	160.470511376797	
193.1596_1	712564	6195490	25.9863548278809	3	13.9929641885376	195.803046781696	
193.1597_1	712376	6195509	18.4765639305115	3	11.0544115190735	122.200014033025	
193.1598_1	712473	6195571	18.4765639305115	3	10.8710504225616	118.179737289878	
193.1599_1	712485	6195549	18.4765639305115	3	10.8880329866791	118.549262319012	
193.1602_1	712541	6195537	19.3362975120544	3	8.25939920207215	68.21767517919	
193.1603_1	712508	6195569	19.3362975120544	3	8.315012990448	69.1394410313189	
193.1609_1	706489	6191380	23.8661890029907	3	7.97251617401123	63.5610141448706	
193.1611_1	715337	6193590	21.8579244613647	3	6.21227612258911	38.5923746232908	
193.1612_1	715397	6193594	21.8579244613647	3	5.69996591815186	32.4896114680927	
193.1614_1	709580	6198040	21.9394636154175	3	13.5661356689453	184.04003698823	
193.1616_1	710108	6197395	21.0700769424438	3	13.2697280002594	176.085681200868	
193.1617_1	709576	6198377	21.9394636154175	3	13.9344587220612	194.169139876826	
193.1618_1	704258	6198264	21.0557813644409	3	5.27057523187256	27.7789632748285	
193.1691_1	709123.19	6191868.34	20.6999278068542	3	18.2969929094711	334.779949529236	
193.1761_1	715032.9	6193960.9	21.8579244613647	3	17.6520532383468	311.594983529429	
193.2021_1	710012.64	6196651.29	22.7863550186157	3	13.6987325062159	187.655272276857	
193.2063_1	703810.2	6192613.6	25.1171770095825	3	10.2551677592985	105.168465771356	
193.2064_1	703782.7	6192819.1	25.1171770095825	3	12.87512847754	165.768933313162	
194.776_1	717947	6203296	0.451657176017761	3	2.31234934755325	5.34695950512995	
194.777_1	717897	6203320	0.451657176017761	3	-0.580640647220611	0.33714356120477	
194.829_1	718166	6196521	20.8197364807129	3	10.8317192761383	117.326142477066	
197.48B_1	652189	6180148	-12.1312160491943	3	2.12637828754234	4.52148462173151	
198.548_2	668541.2	6173131	6.92486333847046	3	0.303047035455361	0.0918375056982827	
198.561_1	680061	6184501	1.69221210479736	3	10.0326847011786	100.654762313262	
198.565_1	674929	6184876	-13.5280752182007	3	1.08039092203474	1.16724454441508	
199.1007_1	686458	6186171	6.6860523223877	3	8.96732770327759	80.4129661379697	
199.1008_2	686458	6186170	6.6860523223877	3	9.59526870330811	92.069181488684	
199.1009_1	687061	6185800	3.13255500793457	3	7.97885156040192	63.6620722229281	
199.1010_1	687321	6186042	4.95696926116943	3	7.45919643090057	55.6396113947599	
199.1043_1	696028.42	6186457.47	3.55421471595764	3	-2.84245514116494	8.07955122953497	
199.1049_1	680886	6186979	6.13075828552246	3	6.18341071316528	38.2345680476872	
199.1051_1	684129	6182920	1.09025144577026	3	11.7788294539833	138.740823306025	
199.1066_1	684600	6184888	7.72157287597656	3	8.38373856716156	70.2870723625122	
199.377_1	684155	6181249	-2.04292595386505	3	4.01877090008736	16.1505195473889	
199.771_1	682517	6180952	-5.29356718063354	3	11.8695064322739	140.885182945791	
200.3617_1	716317	6180930	6.97939616441727	3	4.34329859642029	18.8642426976664	
200.3667_1	709097	6185616	-16.3074913024902	3	0.207625885498048	0.0431085083288487	
200.3673_1	716418	6184405	11.3701719641685	3	-2.80621946929932	7.87486770987454	
200.3796_1	716610	6184433	12.2870984077454	3	3.50652870819092	12.2957435813671	
200.3797_1	716649	6184470	12.2870984077454	3	-0.659184110336305	0.434523691319866	
200.3837_1	707063	6183294	9.24030089378357	3	10.5026492267151	110.305640779419	
200.3866_2	705293	6177935	8.28635001182556	3	0.528499394569396	0.279311610060218	
200.3873_1	705289	6177908	8.28635001182556	3	1.00709002973938	1.01423032800047	
200.3874_1	705297	6177955	8.28635001182556	3	1.27089372684479	1.61517086493343	
200.4202_1	711412	6173732	7.79458236694336	3	9.1	82.81	
200.4351_1	714959	6180312	5.57061278820038	3	0.250006356964112	0.0625031785224672	
200.4354_2	715317	6179484	-1.83989119529724	3	-0.372714992881775	0.138916465918862	
200.4407_2	714729.37	6179500.84	4.34891796112061	3	-2.57340575436445	6.62241717659604	
200.4412_1	713223	6180894	12.6864047050476	3	5.88925141732788	34.6832822564985	
200.4413_1	713138	6180708	12.6864047050476	3	5.89661217889404	34.7700351882816	
200.4415_1	711313	6186875	7.4012279510498	3	0.343868487358094	0.118245536597944	
200.4415_2	711313	6186875	7.4012279510498	3	0.343868487358094	0.118245536597944	
200.4415_3	711313	6186875	7.4012279510498	3	0.343868487358094	0.118245536597944	
200.4415_4	711313	6186875	7.4012279510498	3	0.343868487358094	0.118245536597944	
200.4415_5	711313	6186875	7.4012279510498	3	0.343868487358094	0.118245536597944	
200.5038_1	704639	6186313	-0.494905710220337	3	-1.80348937756729	3.25257393499805	
200.5039_1	704743	6186344	-0.494905710220337	3	-1.06999845336151	1.14489669019603	
200.5087_2	708879.84	6185815.18	-10.2928009033203	3	-6.20220503341218	38.4673472764833	
200.5098_1	712348	6175614	15.1170887947083	3	13.5	182.25	
201.3808_2	726734	6173769	-2.39355039596558	3	-3.70276079083061	13.7104374741125	
201.3808_3	726734	6173769	-2.39355039596558	3	-3.70276079083061	13.7104374741125	
201.3831_1	718539	6182132	16.0544295310974	3	4.80579300426483	23.0956463998408	
201.3832_1	718657.17	6181635.8	9.95706534385681	3	5.83034016185436	33.992866402932	
201.3875_1	720673	6173762	0.711060047149658	3	-1.80478764646149	3.25725844881999	
201.3912_1	724843	6174423	-8.10240340232849	3	-0.71824408281374	0.51587456249695	
201.3913_1	724844	6174452	-8.10240340232849	3	-0.464911508184433	0.216142710442324	
201.3921_2	722640.04	6176903.86	-2.5358259677887	3	-4.19362450393256	17.5864864799836	
201.4103_1	727014	6174852	-5.06302261352539	3	-3.50827875324249	12.3080198104527	
201.4104_1	726973	6174842	-6.14725136756897	3	-3.48946031414986	12.1763332840268	
201.4153_1	726658	6176360	-8.27124762535095	3	-1.21281701648712	1.47092511548072	
201.4154_1	726354	6176554	-6.29578518867493	3	-1.40741128083801	1.9808065134301	
201.4155_1	727199	6176845	-11.0443139076233	3	-0.881482764674425	0.777011864418068	
201.4371_1	721032.34	6181624.25	-5.87842988967896	3	0.0700126187903365	0.00490176678988098	
201.4371_2	721032.34	6181624.25	-5.87842988967896	3	0.0500126187903369	0.00250126203826756	
201.4372_1	721022.26	6181601.56	-5.87842988967896	3	-0.302942583714566	0.091774209027657	
201.4372_2	721022.26	6181601.56	-5.87842988967896	3	-0.312942583714566	0.0979330607019482	
201.4444_1	724841	6177224	-3.3932089805603	3	-3.11745402643967	9.71851960696489	
201.4499_1	722965	6173790	-3.71138501167297	3	-5.11018163795471	26.1139563728895	
201.4500_1	722965	6173790	-3.71138501167297	3	-2.93018163795471	8.58596443140696	
201.4501_1	722965	6173790	-3.71138501167297	3	-2.15018163795471	4.62328107619761	
201.4502_1	722965	6173790	-3.71138501167297	3	-2.37018163795471	5.61776099689768	
201.4508_1	723505	6174480	-5.65842485427856	3	-3.01889757790565	9.11374258588463	
201.4509_1	723500	6174465	-5.65842485427856	3	-2.80947370171547	7.89314248063082	
201.4510_1	723490	6174475	-3.32735073566437	3	-2.82557171010971	7.98385548897231	
201.4511_1	723485	6174460	-3.32735073566437	3	-2.4158221353054	5.83619658943156	
201.4719_1	719598	6176820	0.354893326759338	3	-3.09882354980469	9.60270739282412	
201.4765_1	726935	6174311	-5.27552270889282	3	-2.34998969360352	5.52245156004275	
201.4788_1	723047	6174338	-3.32735073566437	3	-2.82969234339142	8.00715875824802	
201.4792_1	724841	6177224	-3.3932089805603	3	-3.53745402643967	12.5135809891742	
201.4793_1	723053	6174038	-3.32735073566437	3	-2.33226904362488	5.4394788918509	
201.4814_2	726998	6174291	-5.27552270889282	3	-1.96516569042969	3.86187619084199	
201.4842_2	724224	6176807	-2.052321434021	3	-1.69478031387711	2.87228031230538	
201.4843_2	724468	6176683	-2.052321434021	3	-1.49483830225563	2.2345415498905	
201.4844_2	724499	6176663	-2.052321434021	3	-1.39943298423099	1.95841267735367	
201.4847_1	725395	6176228	-5.22261524200439	3	-1.99464838889595	3.97862219532521	
201.4848_1	725400	6176176	-5.22261524200439	3	-2.26571109562926	5.13344676885754	
201.4848_2	725400	6176176	-5.22261524200439	3	-2.05571109562926	4.22594810869325	
201.4850_2	725836	6175421	-5.18611335754395	3	-1.40572861984825	1.97607295266047	
201.4856_1	727275	6174302	-4.9513201713562	3	-2.67502019820213	7.15573306078938	
201.4857_1	727290	6174376	-4.9513201713562	3	-2.62009000995636	6.86487166027312	
201.4858_1	727353	6174394	-4.9513201713562	3	-2.71583551366234	7.37576253726958	
201.4862_1	725553	6174706	-7.26900339126587	3	-1.55392600342369	2.41468602411632	
201.4863_1	725565	6174666	-7.26900339126587	3	-0.724702212553024	0.525193296879249	
201.4864_1	725529	6174546	-7.26900339126587	3	-1.49453658138084	2.23363959308554	
201.4865_3	724260	6176805	-2.052321434021	3	-1.87972644882202	3.53337152240105	
201.4866_3	724408	6176717	-2.052321434021	3	-1.63513040885353	2.67365145395751	
201.4867_2	724729	6176574	-3.9135913848877	3	-1.17707339476013	1.38550177665214	
201.4868_2	724783	6176535	-3.9135913848877	3	-1.67904587442875	2.8191950484362	
201.4869_2	724875	6176551	-3.9135913848877	3	-2.36415062057972	5.58920815678747	
201.4871_2	725248	6176396	-5.22261524200439	3	-0.98929768831253	0.978709916100517	
